"CubeId";"plimoinchq"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"D1";"Value"
"2022-Q2";"EH";"TP";"213.6814176"
"2022-Q2";"MH";"TP1";"170.928552"
"2022-Q2";"MH";"TP2";"157.26554188"
"2022-Q2";"MH";"TP";"161.25585059"
"2022-Q2";"MW";"AP";"139.7503464"
"2022-Q2";"BF";"AP";"125.45577248"
"2022-Q2";"GF";"AP";"120.39352806"
"2022-Q2";"VF";"AP";"106.78336888"
"2022-Q3";"EW";"TP3";"113.5006"
"2022-Q3";"EW";"TP1";"259.1311601"
"2022-Q3";"EW";"TP2";"219.10821541"
"2022-Q3";"EW";"AP";"185.12603797"
"2022-Q3";"EW";"TP";"234.11380652"
"2022-Q3";"EH";"TP3";"115.8834"
"2022-Q3";"EH";"TP1";"211.03908563"
"2022-Q3";"EH";"TP2";"203.05587893"
"2022-Q3";"EH";"AP";"192.57396619"
"2022-Q3";"EH";"TP";"216.23007739"
"2022-Q3";"MH";"TP1";"167.73614122"
"2022-Q3";"MH";"TP2";"160.22951816"
"2022-Q3";"MH";"TP";"165.40440248"
"2022-Q3";"MW";"AP";"140.02648296"
"2022-Q3";"BF";"AP";"124.25457208"
"2022-Q3";"GF";"AP";"120.15633882"
"2022-Q3";"VF";"AP";"114.10775865"
"2022-Q4";"EW";"TP3";"114.0781"
"2022-Q4";"EW";"TP1";"257.33398896"
"2022-Q4";"EW";"TP2";"222.39641657"
"2022-Q4";"EW";"AP";"186.95449042"
"2022-Q4";"EW";"TP";"234.74185677"
"2022-Q4";"EH";"TP3";"118.1487"
"2022-Q4";"EH";"TP1";"213.23815632"
"2022-Q4";"EH";"TP2";"205.86922778"
"2022-Q4";"EH";"AP";"193.28193117"
"2022-Q4";"EH";"TP";"215.83686135"
"2022-Q4";"MH";"TP1";"163.04513973"
"2022-Q4";"MH";"TP2";"162.89709682"
"2022-Q4";"MH";"TP";"166.94494126"
"2022-Q4";"MW";"AP";"140.14162538"
"2022-Q4";"BF";"AP";"124.19102741"
"2022-Q4";"GF";"AP";"121.72006439"
"2022-Q4";"VF";"AP";"112.25001838"
"2023-Q1";"EW";"TP3";"112.8152"
"2023-Q1";"EW";"TP1";"259.94492899"
"2023-Q1";"EW";"TP2";"224.3815535"
"2023-Q1";"EW";"AP";"188.35991908"
"2023-Q1";"EW";"TP";"236.23413555"
"2023-Q1";"EH";"TP3";"116.5883"
"2023-Q1";"EH";"TP1";"212.29447533"
"2023-Q1";"EH";"TP2";"208.02289484"
"2023-Q1";"EH";"AP";"192.87281097"
"2023-Q1";"EH";"TP";"216.59601968"
"2023-Q1";"MH";"TP1";"152.67008709"
"2023-Q1";"MH";"TP2";"163.56589147"
"2023-Q1";"MH";"TP";"161.18313168"
"2023-Q1";"MW";"AP";"140.1814035"
"2023-Q1";"BF";"AP";"123.76477634"
"2023-Q1";"GF";"AP";"120.68106818"
"2023-Q1";"VF";"AP";"113.63446434"
"2023-Q2";"EW";"TP3";"114.6312"
"2023-Q2";"EW";"TP1";"261.91023465"
"2023-Q2";"EW";"TP2";"225.44029319"
"2023-Q2";"EW";"AP";"190.25416406"
"2023-Q2";"EW";"TP";"239.27899958"
"2023-Q2";"EH";"TP3";"117.3862"
"2023-Q2";"EH";"TP1";"216.13185012"
