"CubeId";"snboffzisa"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"Value"
"2020-03";"UG1";"0"
"2020-03";"OG1";"0.25"
"2020-03";"H";"0"
"2020-03";"SRF";"0.25"
"2020-03";"EF";"-0.5"
"2020-03";"L0";"0.1"
"2020-03";"L1";"-0.1"
"2020-04";"LZ";"-0.75"
"2020-04";"UG1";"0"
"2020-04";"OG1";"0.25"
"2020-04";"H";"0"
"2020-04";"SRF";"0.25"
"2020-04";"EF";"-0.5"
"2020-04";"L0";"0.1"
"2020-04";"L1";"-0.1"
"2020-05";"LZ";"-0.75"
"2020-05";"UG1";"0"
"2020-05";"OG1";"0.25"
"2020-05";"H";"0"
"2020-05";"SRF";"0.25"
"2020-05";"EF";"-0.5"
"2020-05";"L0";"0.1"
"2020-05";"L1";"-0.1"
"2020-06";"LZ";"-0.75"
"2020-06";"UG1";"0"
"2020-06";"OG1";"0.25"
"2020-06";"H";"0"
"2020-06";"SRF";"0.25"
"2020-06";"EF";"-0.5"
"2020-06";"L0";"0.1"
"2020-06";"L1";"-0.1"
"2020-07";"LZ";"-0.75"
"2020-07";"UG1";"0"
"2020-07";"OG1";"0.25"
"2020-07";"H";"0"
"2020-07";"SRF";"0.25"
"2020-07";"EF";"-0.5"
"2020-07";"L0";"0.1"
"2020-07";"L1";"-0.1"
"2020-08";"LZ";"-0.75"
"2020-08";"UG1";"0"
"2020-08";"OG1";"0.25"
"2020-08";"H";"0"
"2020-08";"SRF";"0.25"
"2020-08";"EF";"-0.5"
"2020-08";"L0";"0.1"
"2020-08";"L1";"-0.1"
"2020-09";"LZ";"-0.75"
"2020-09";"UG1";"0"
"2020-09";"OG1";"0.25"
"2020-09";"H";"0"
"2020-09";"SRF";"0.25"
"2020-09";"EF";"-0.5"
"2020-09";"L0";"0.1"
"2020-09";"L1";"-0.1"
"2020-10";"LZ";"-0.75"
"2020-10";"UG1";"0"
"2020-10";"OG1";"0.25"
"2020-10";"H";"0"
"2020-10";"SRF";"0.25"
"2020-10";"EF";"-0.5"
"2020-10";"L0";"0.1"
"2020-10";"L1";"-0.1"
"2020-11";"LZ";"-0.75"
"2020-11";"UG1";"0"
"2020-11";"OG1";"0.25"
"2020-11";"H";"0"
"2020-11";"SRF";"0.25"
"2020-11";"EF";"-0.5"
"2020-11";"L0";"0.1"
"2020-11";"L1";"-0.1"
"2020-12";"LZ";"-0.75"
"2020-12";"UG1";"0"
"2020-12";"OG1";"0.25"
"2020-12";"H";"0"
"2020-12";"SRF";"0.25"
"2020-12";"EF";"-0.5"
"2020-12";"L0";"0.1"
"2020-12";"L1";"-0.1"
"2021-01";"LZ";"-0.75"
"2021-01";"UG1";"0"
"2021-01";"OG1";"0.25"
"2021-01";"H";"0"
"2021-01";"SRF";"0.25"
"2021-01";"EF";"-0.5"
"2021-01";"L0";"0.1"
"2021-01";"L1";"-0.1"
"2021-02";"LZ";"-0.75"
"2021-02";"UG1";"0"
"2021-02";"OG1";"0.25"
"2021-02";"H";"0"
"2021-02";"SRF";"0.25"
"2021-02";"EF";"-0.5"
"2021-02";"L0";"0.1"
"2021-02";"L1";"-0.1"
"2021-03";"LZ";"-0.75"
"2021-03";"UG1";"0"
"2021-03";"OG1";"0.25"
"2021-03";"H";"0"
"2021-03";"SRF";"0.25"
"2021-03";"EF";"-0.5"
"2021-03";"L0";"0.1"
"2021-03";"L1";"-0.1"
"2021-04";"LZ";"-0.75"
"2021-04";"UG1";"0"
"2021-04";"OG1";"0.25"
"2021-04";"H";"0"
"2021-04";"SRF";"0.25"
"2021-04";"EF";"-0.5"
"2021-04";"L0";"0.1"
"2021-04";"L1";"-0.1"
"2021-05";"LZ";"-0.75"
"2021-05";"UG1";"0"
"2021-05";"OG1";"0.25"
"2021-05";"H";"0"
"2021-05";"SRF";"0.25"
"2021-05";"EF";"-0.5"
"2021-05";"L0";"0.1"
"2021-05";"L1";"-0.1"
"2021-06";"LZ";"-0.75"
"2021-06";"UG1";"0"
"2021-06";"OG1";"0.25"
"2021-06";"H";"0"
"2021-06";"SRF";"0.25"
"2021-06";"EF";"-0.5"
"2021-06";"L0";"0.1"
"2021-06";"L1";"-0.1"
"2021-07";"LZ";"-0.75"
"2021-07";"UG1";"0"
"2021-07";"OG1";"0.25"
"2021-07";"H";"0"
"2021-07";"SRF";"0.25"
"2021-07";"EF";"-0.5"
"2021-07";"L0";"0.1"
"2021-07";"L1";"-0.1"
"2021-08";"LZ";"-0.75"
"2021-08";"UG1";"0"
"2021-08";"OG1";"0.25"
"2021-08";"H";"0"
"2021-08";"SRF";"0.25"
"2021-08";"EF";"-0.5"
"2021-08";"L0";"0.1"
"2021-08";"L1";"-0.1"
"2021-09";"LZ";"-0.75"
"2021-09";"UG1";"0"
"2021-09";"OG1";"0.25"
"2021-09";"H";"0"
"2021-09";"SRF";"0.25"
"2021-09";"EF";"-0.5"
"2021-09";"L0";"0.1"
"2021-09";"L1";"-0.1"
"2021-10";"LZ";"-0.75"
"2021-10";"UG1";"0"
"2021-10";"OG1";"0.25"
"2021-10";"H";"0"
"2021-10";"SRF";"0.25"
"2021-10";"EF";"-0.5"
"2021-10";"L0";"0.1"
"2021-10";"L1";"-0.1"
"2021-11";"LZ";"-0.75"
"2021-11";"UG1";"0"
"2021-11";"OG1";"0.25"
"2021-11";"H";"0"
"2021-11";"SRF";"0.25"
"2021-11";"EF";"-0.5"
"2021-11";"L0";"0.1"
"2021-11";"L1";"-0.1"
"2021-12";"LZ";"-0.75"
"2021-12";"UG1";"0"
"2021-12";"OG1";"0.25"
"2021-12";"H";"0"
"2021-12";"SRF";"0.25"
"2021-12";"EF";"-0.5"
"2021-12";"L0";"0.25"
"2021-12";"L1";"-0.1"
"2022-01";"LZ";"-0.75"
"2022-01";"UG1";"0"
"2022-01";"OG1";"0.25"
"2022-01";"H";"0"
"2022-01";"SRF";"0.25"
"2022-01";"EF";"-0.5"
"2022-01";"L0";"0.25"
"2022-01";"L1";"-0.1"
"2022-02";"LZ";"-0.75"
"2022-02";"UG1";"0"
"2022-02";"OG1";"0.25"
"2022-02";"H";"0"
"2022-02";"SRF";"0.25"
"2022-02";"EF";"-0.5"
"2022-02";"L0";"0.5"
"2022-02";"L1";"-0.1"
"2022-03";"LZ";"-0.75"
"2022-03";"UG1";"0.25"
"2022-03";"OG1";"0.5"
"2022-03";"H";"0"
"2022-03";"SRF";"0.25"
"2022-03";"EF";"-0.5"
"2022-03";"L0";"0.75"
"2022-03";"L1";"-0.1"
"2022-04";"LZ";"-0.75"
"2022-04";"UG1";"0.25"
"2022-04";"OG1";"0.5"
"2022-04";"H";"0"
"2022-04";"SRF";"0.25"
"2022-04";"EF";"-0.5"
"2022-04";"L0";"0.75"
"2022-04";"L1";"-0.1"
"2022-05";"LZ";"-0.75"
"2022-05";"UG1";"0.75"
"2022-05";"OG1";"1"
"2022-05";"H";"0"
"2022-05";"SRF";"0.25"
"2022-05";"EF";"-0.5"
"2022-05";"L0";"1"
"2022-05";"L1";"-0.1"
"2022-06";"LZ";"-0.25"
"2022-06";"UG1";"1.5"
"2022-06";"OG1";"1.75"
"2022-06";"H";"0"
"2022-06";"SRF";"0.25"
"2022-06";"EF";"-0.5"
"2022-06";"L0";"1.25"
"2022-06";"L1";"-0.1"
"2022-07";"LZ";"-0.25"
"2022-07";"UG1";"2.25"
"2022-07";"OG1";"2.5"
"2022-07";"H";"0.5"
"2022-07";"SRF";"0.75"
"2022-07";"EF";"0"
"2022-07";"L0";"1.25"
"2022-07";"L1";"-0.1"
"2022-08";"LZ";"-0.25"
"2022-08";"UG1";"2.25"
"2022-08";"OG1";"2.5"
"2022-08";"H";"0.5"
"2022-08";"SRF";"0.75"
"2022-08";"EF";"0"
"2022-08";"L0";"1.75"
"2022-08";"L1";"-0.1"
"2022-09";"LZ";"0.5"
"2022-09";"UG1";"3"
"2022-09";"OG1";"3.25"
"2022-09";"H";"1.25"
"2022-09";"SRF";"1.5"
"2022-09";"EF";"0.75"
"2022-09";"L0";"2.25"
"2022-09";"L1";"-0.1"
"2022-10";"LZ";"0.5"
"2022-10";"UG1";"3"
"2022-10";"OG1";"3.25"
"2022-10";"H";"2"
"2022-10";"SRF";"2.25"
"2022-10";"EF";"1.5"
"2022-10";"L0";"2.25"
"2022-10";"L1";"-0.1"
"2022-11";"LZ";"0.5"
"2022-11";"UG1";"3.75"
"2022-11";"OG1";"4"
"2022-11";"H";"2"
"2022-11";"SRF";"2.25"
"2022-11";"EF";"1.5"
"2022-11";"L0";"3"
"2022-11";"L1";"-0.1"
"2022-12";"LZ";"1"
